"name","degree"
"RPA2",29
"YWHAZ",124
"CCNT1",2
"YWHAE",104
"MAP1B",15
"PDPK1",38
"WWC1",12
"TAF1",71
"UBQLN1",45
"GOLGA2",8
"RSC2",16
"ARX1",27
"CDC48",20
"HHF1",31
"IPP1",12
"SPT15",75
"RAS2",5
"FHL1",16
"RPP0",21
"SMT3",19
"CMR1",16
"MMS22",4
"DHH1",35
"TAF11",34
"PRKCI",161
"SQSTM1",302
"EHMT2",6
"CKB",74
"CHMP4A",24
"PARK2",224
"SERPINI2",5
"XAGE2",7
"OPTN",69
"PRKCZ",121
"HSPA8",107
"ELG1",9
"TEN1",2
"YRA1",23
"CDC37",78
"SOD1",30
"MPT5",16
"ERF2",7
"SHR5",4
"RPL25",21
"RPL10",36
"SQT1",12
"HTA2",23
"HMO1",53
"TFC6",7
"IOC3",8
"YGL108C",2
"RGL1",22
"TUS1",10
"FRS2",4
"N",325
"RET",15
"HSP90AA1",119
"HRAS",11
"PARD6A",42
"MARK4",11
"IKBKB",91
"CHUK",62
"PARD3",55
"ADAP1",5
"GAPDH",55
"YWHAH",80
"SNCA",101
"CUL3",75
"MAP1LC3B",79
"UBC",199
"ARIH2",16
"HSPE1",13
"BZR1",6
"CD44",26
"PTPRA",10
"CHMP3",37
"RAP2A",2
"PDCD6IP",39
"STAMBP",43
"GID1A",2
"MAPT",107
"PARD6B",71
"PPP2R1A",27
"SMG1",3
"GMCL1",7
"RHOJ",13
"PARD6G",25
"CKM",14
"HUWE1",57
"MARK2",55
"VPS4A",5
"GBAS",25
"AT5G66730",3
"CHMP5",13
"LLGL2",43
"ASB9",33
"CKMT1A",15
"LLGL1",35
"CCNF",34
"CHMP4C",13
"CHMP4B",38
"DLD",15
"ALDOA",30
"SYT17",4
"NIPSNAP1",28
"RPL26A",22
"M",122
"S",773
"nsp15",44
"nsp6",39
"nsp7",31
"ORF3a",48
"ARHGAP24",4
"RPS17A",6
"AT5G57710",3
